id,Chamber,District,Party,city,counties,capital_phone,office_phone,home_phone,email,Timestamp,Name,Employer,Title,Type,Spouse,Spouse_employer,Spouse_title,Spouse_type,income1,income2,income3,income4,special1,special2,special3,lobby_client,Real_estate1,Real_estate2,Real_estate3,Real_estate4,Biz_interest1,Biz_interes2,Biz_ interest3,board1,board2,board3,license1,license2,license3,agency_biz1,agency_biz2,agency_biz3,agency_rep1,agency_rep2,agency_rep3,Other,Year took office
1,House,1,Republican,,,,,,,2/15/17 19:35,Rodney Montoya,Western Explosives,"site manager, Navajo mine",explosives distribution,Pearl Montoya,Keller Williams Realty,broker,real estate,,,,,,,,,,,,,,,,,,,explosives blaster/Rodney Montoya,real estate broker/Pearl Montoya,qualifying broker/Pearl Montoya,,,,,,,,2015
2,House,2,Republican,,,,,,,2/17/17 12:05,James R.J. Strickler,JMJ Land & Minerals/Self-employed,president,oil and gas producer,Marie Strickler,homemaker,,,wages and salary/James Strickler,oil & gas/JMJ Land and Minerals,Overriding royalty/JMJ Ventures LLC,Royalty interests/James and Marie Strickler,,,,,James & Marie Strickler/San Juan/2204 N. Santiago Ave.,James & Marie Strickler/San Juan/2205 N. Santiago Ave.,James & Marie Strickler/San Juan/908 E. 20th St.,,,,,,,,,,,,,,,,,,2007
3,House,3,Republican,,,,,,,2/14/17 8:30,Paul Bandy,self,,,Mary Bandy,self,,,Bandy ranch/Paul Bandy,Medical practice/Mary Bandy,,,,,,,Both/ranch/San Juan,Both/medical office/San Juan,,,,,,,,,medical/Mary Bandy,,,,,,,,,,2007
4,House,4,Republican,,,,,,,2/14/17 8:41,Sharon Clahchischilliage,retired,,,Harry McCabe,retired,,,Social Security/Sharon Clahchischilliage,Navajo Nation retirement/Sharon Clahchischilliage,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
5,House,5,Democrat,,,,,,,2/14/17 15:18,Doreen Johnson,SAS NW NM,program manager,nonprofit,,,,,SAS NW NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
6,House,6,Democrat,,,,,,,2/13/17 16:34,Eliseo Alcon,retired/disabled,,,Darlene Alcon,retired,,,VA Disability/Eliseo Alcon,Social Security/Eliseo Alcon,PERA Retirement/Eliseo Alcon,Social security/Darlene Alcon,,,,,Eliseo & Darlene Alcon/Cibola/mobile home,,,,,,,,,,,,,,,,,,,,2009
7,House,7,Republican,,,,,,,2/14/17 9:46,Kelly Fajardo,self,owner,marketing,Lawrence Fajardo,Sandia National Labs,equipment technologist,national security,salary/Kelly Fajardo,salary/Lawrence Fajardo,,,,,,,,,,,H (?) Printing/Kelly Fajardo/wholesale finishing,,,,,,,,,,,,,,,,2013
8,House,8,Republican,,,,,,,2/14/17 8:26,Alonzo Baldonado,ReMax Gallery,broker/owner,real estate,Rebecca Baldonado,,homemaker,,Commissions/Alonzo Baldonado,Rental income/Alonzo Baldonado,,,,,,,Both/Valencia/residential/759 Teles,Both/Valencia/commercial/535 Cortez,,,,,,,,,NM real estate broker/Alonzo Baldonado,NM real estate broker/inactive/Rebecca Baldonado,,,,,,,,,2011
9,House,9,Democrat,,,,,,,2/14/17 16:00,"Patricia ""Patty"" Lundstrom",Greater Gallup Economic Development Corp.,executive director,nonprofit,Ronald Berg,Berg Chiropractic,owner,chiropractor,Greater Gallup Economic Development/Patty Lundstrom,PERA/Patty Lundstrom,Berg Chiropractic/Ronald Berg,,,,,,both/Cibola/undeveloped land,both/McKinley/undeveloped land,,,Berg Chiropractic/Ronald Berg,,,,,,Chiropractor/Ronald Berg,,,,,,,,,PERA retiree,2001
10,House,10,Democrat,,,,,,,2/17/17 10:36,G. Andres Romero,Albuquerque Public Schools,teacher,education,Athena Torretti,Albuquerque Public Schools,librarian,education,Salary from Albuquerque Public Schools/Andres Romero,Salary from Albuquerque Public Schools/Athena Torretti,,,,,,,,,,,,,,,,,educator alternative license/G. Andres Romero,educator alternative license/Athena Torretti,,,,,,,,,2015
